epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,3380.6,1.07669,0.62759,0.87052,0.48988,0.35588,0.34751,0.20635,1.2566,0.98188,0.89825,0.007195,0.007195,0.007195
87,3419.93,1.0779,0.62744,0.87157,0.48311,0.35986,0.34717,0.20606,1.25413,0.98499,0.89747,0.007162,0.007162,0.007162
88,3459.25,1.06811,0.62012,0.86984,0.4931,0.35821,0.34823,0.20665,1.25563,0.97999,0.89738,0.007129,0.007129,0.007129
89,3498.47,1.06611,0.62098,0.87045,0.47516,0.36923,0.34756,0.20638,1.25097,0.98008,0.89648,0.007096,0.007096,0.007096
90,3537.63,1.06799,0.62017,0.86837,0.47961,0.36251,0.34544,0.20514,1.25243,0.98591,0.8965,0.007063,0.007063,0.007063
91,3576.68,1.0673,0.6179,0.87092,0.4861,0.35762,0.34645,0.20602,1.25505,0.99036,0.8974,0.00703,0.00703,0.00703
92,3615.65,1.06563,0.61608,0.86947,0.47875,0.36029,0.34746,0.20639,1.25352,0.98532,0.89707,0.006997,0.006997,0.006997
93,3654.67,1.06633,0.61671,0.86939,0.49588,0.35414,0.34606,0.20592,1.24899,0.98347,0.89606,0.006964,0.006964,0.006964
94,3693.86,1.05803,0.60997,0.8686,0.48872,0.35619,0.34488,0.20551,1.2487,0.98931,0.89598,0.006931,0.006931,0.006931
95,3732.87,1.06277,0.61174,0.8671,0.48812,0.35744,0.34505,0.20541,1.24766,0.9889,0.89634,0.006898,0.006898,0.006898
96,3772.04,1.05972,0.61056,0.8693,0.48545,0.35581,0.34435,0.20503,1.24777,0.98728,0.89615,0.006865,0.006865,0.006865
97,3811.14,1.05907,0.60789,0.86824,0.48624,0.35742,0.34631,0.20574,1.25118,0.99049,0.89615,0.006832,0.006832,0.006832
